model,accuracy,f1_score
Logistic Regression,0.7665494726268207,0.7697414049341128
SVM,0.7609241587142139,0.7644030884973273
Random Forest,0.7548970366649924,0.7489195307676476
XGBoost,0.7447011551983928,0.759680393362016
