model,accuracy,f1_score,feature
Logistic Regression,0.7665494726268207,0.7697414049341128,TF-IDF
SVM,0.7609241587142139,0.7644030884973273,TF-IDF
Random Forest,0.7515821195379206,0.7446039450583497,TF-IDF
XGBoost,0.7447011551983928,0.759680393362016,TF-IDF
Logistic Regression,0.7171270718232045,0.7203297248982024,Word2Vec
SVM,0.7196885986941236,0.7235897181912734,Word2Vec
